FID,名称,经度,纬度,X,Y,Brand,Ak,Pk
470,李国荣胡辣汤店,113.595039,34.774765,737572.3893,3852677.232,Others,5,4
471,逊母口原滋味优质胡辣汤,113.594519,34.772935,737530.0212,3852472.914,Others,5,4
472,方秀华周口优质胡辣汤,113.600952,34.773642,738117.0763,3852566.618,Others,5,4
473,陈记逍遥镇牛肉胡辣汤,113.597367,34.778328,737775.3349,3853078.155,Xiaoyaozhen,10,7
474,钱记优质牛肉胡辣汤,113.602558,34.800531,738186.7548,3855554.49,Others,5,4
475,杨记牛肉胡辣汤,113.602335,34.808975,738142.0304,3856491.052,Others,5,4
476,刘师傅逍遥镇优质牛肉胡辣汤,113.602174,34.808687,738128.1228,3856458.708,Xiaoyaozhen,10,7
477,高群生胡辣汤,113.555166,34.793861,733867.2586,3854702.763,Others,5,4
478,北舞渡贾品轩炖肉胡辣汤,113.568926,34.794394,735125.4547,3854794.078,Beiwudu,8,6
479,汇四方优质胡辣汤,113.573498,34.802515,735520.8966,3855706.041,Others,5,4
480,豫中牛肉胡辣汤,113.573491,34.802528,735520.2188,3855707.468,Others,5,4
481,孙记逍遥镇胡辣汤,113.574127,34.804638,735572.4293,3855943.122,Xiaoyaozhen,10,7
482,方大同胡辣汤,113.575061,34.806775,735651.8369,3856182.472,Others,5,4
483,手擀面家常菜优质牛肉胡辣汤,113.557728,34.801567,734080.0053,3855563.918,Others,5,4
484,妥记胡辣汤店,113.55191,34.787455,733587.2552,3853984.268,Others,5,4
485,闪长雨北舞渡炖肉胡辣汤,113.548037,34.787021,733233.8835,3853927.095,Beiwudu,8,6
486,任记逍遥镇牛肉胡辣汤,113.547685,34.788164,733198.4357,3854053.121,Xiaoyaozhen,10,7
487,老李家逍遥牛肉胡辣汤,113.534274,34.7932,731956.4843,3854580.903,Xiaoyaozhen,10,7
488,逍遥镇胡辣汤,113.536341,34.789959,732154.8065,3854226.014,Xiaoyaozhen,10,7
489,曹运洪胡辣汤,113.53647,34.791267,732162.9478,3854371.468,Others,5,4
490,老马胡辣汤,113.548155,34.790145,733235.8842,3854274.056,Others,5,4
491,方大同胡辣汤,113.552332,34.789461,733620.2299,3854207.867,Others,5,4
492,春意源逍遥镇胡辣汤,113.549794,34.790883,733383.8578,3854359.767,Xiaoyaozhen,10,7
493,拜云飞牛排胡辣汤,113.546582,34.803731,733053.605,3855778.113,Others,5,4
494,叶卫东牛肉胡辣汤,113.551744,34.800677,733534.7421,3855451.2,Others,5,4
495,双梅优质胡辣汤,113.553491,34.801119,733693.4156,3855504.32,Others,5,4
496,逍遥镇牛肉胡辣汤,113.554636,34.805132,733786.8886,3855952.334,Xiaoyaozhen,10,7
497,逍遥镇老铁家优质胡辣汤,113.536327,34.801148,732122.1373,3855467.682,Xiaoyaozhen,10,7
498,老李家逍遥镇胡辣汤,113.532727,34.804514,731783.1629,3855832.899,Xiaoyaozhen,10,7
499,优质牛肉胡辣汤,113.524204,34.80022,731014.9907,3855336.709,Others,5,4
500,高新区御遥香胡辣汤馆,113.526938,34.804494,731253.3162,3855817.316,Others,5,4
501,御遥香胡辣汤馆,113.526858,34.804631,731245.6103,3855832.335,Others,5,4
502,刘记逍遥镇胡辣汤,113.525021,34.804597,731077.5539,3855824.328,Xiaoyaozhen,10,7
503,康艳华胡辣汤豆沫馆,113.518002,34.804835,730434.401,3855834.591,Others,5,4
504,杨六山胡辣汤,113.520672,34.806232,730674.9052,3855995.76,Others,5,4
505,李秋锋牛排胡辣汤,113.521521,34.811124,730738.9703,3856540.602,Others,5,4
506,正宗逍遥镇胡辣汤,113.52766,34.813097,731295.3467,3856773.699,Xiaoyaozhen,10,7
507,胡辣汤,113.554099,34.811094,733720.8864,3856612.721,Others,5,4
508,方一坤野山菌胡辣汤,113.551266,34.81375,733454.0858,3856900.873,Others,5,4
509,逍遥胡辣汤,113.549724,34.813948,733312.3935,3856919.257,Xiaoyaozhen,10,7
510,亮洁逍遥镇胡辣汤石锅饭,113.544306,34.813918,732816.5896,3856903.334,Xiaoyaozhen,10,7
511,杨府合流镇胡辣汤,113.54655,34.824707,732991.5684,3858105.864,Others,5,4
512,方永结胡辣汤,113.546737,34.824915,733008.0952,3858129.382,Others,5,4
513,春意逍遥镇牛肉胡辣汤,113.539721,34.833756,732341.1789,3859094.232,Xiaoyaozhen,10,7
514,方一坤野山菌胡辣汤,113.541754,34.834125,732526.1681,3859139.897,Others,5,4
515,方中山胡辣汤,113.541833,34.833706,732534.576,3859093.581,Fangzhongshan,9,10
516,老杨家胡辣汤,113.56042,34.812539,734295.3506,3856787.832,Others,5,4
517,张老大胡辣汤,113.564271,34.813193,734645.9693,3856869.416,Others,5,4
518,常顺兴胡辣汤粥饼,113.558131,34.824779,734051.1914,3858140.834,Others,5,4
519,方一坤野山菌胡辣汤,113.558541,34.83076,734071.7734,3858805.54,Others,5,4
520,方大同胡辣汤荣邦店,113.562538,34.830342,734438.7157,3858768.494,Others,5,4
521,胡辣汤·串串香,113.618249,34.813477,739585.6467,3857028.583,Others,5,4
522,胡辣汤手工饺子,113.627815,34.812666,740463.5668,3856961.48,Others,5,4
523,史记胡辣汤豆沫馆,113.625642,34.817822,740249.6917,3857528.474,Others,5,4
524,李红伟胡辣汤,113.617007,34.816783,739462.394,3857392.509,Others,5,4
525,老赵家逍遥胡辣汤,113.625127,34.819629,740197.3071,3857727.778,Xiaoyaozhen,10,7
526,朋喜来逍遥镇胡辣汤,113.623871,34.819737,740082.0421,3857736.755,Xiaoyaozhen,10,7
527,西华县逍遥镇胡辣汤豆沫馆,113.623966,34.821641,740085.2071,3857948.285,Xiaoyaozhen,10,7
528,逍遥镇三羊胡辣汤,113.623479,34.825392,740029.7448,3858363.397,Xiaoyaozhen,10,7
529,牛肉胡辣汤,113.623163,34.825914,739999.3103,3858420.571,Others,5,4
530,逍遥镇胡辣汤,113.62359,34.824849,740041.4799,3858303.402,Xiaoyaozhen,10,7
